time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-29 00:00:00+00:00,8.0,7.0,39,12
2022-06-30 00:00:00+00:00,54.0,15.0,111,14
2022-07-01 00:00:00+00:00,36.0,17.0,151,61
2022-07-02 00:00:00+00:00,21.0,16.0,192,47
2022-07-03 00:00:00+00:00,58.0,13.0,34,20
2022-07-04 00:00:00+00:00,84.0,11.0,45,17
2022-07-05 00:00:00+00:00,24.0,15.0,64,12
2022-07-06 00:00:00+00:00,23.0,15.0,81,20
2022-07-07 00:00:00+00:00,28.0,17.0,96,20
2022-07-08 00:00:00+00:00,11.0,10.0,74,12
2022-07-09 00:00:00+00:00,35.0,9.0,58,5
2022-07-10 00:00:00+00:00,10.0,6.0,59,11
2022-07-11 00:00:00+00:00,14.0,6.0,88,11
2022-07-12 00:00:00+00:00,13.0,7.0,41,9
2022-07-13 00:00:00+00:00,,,6,2
