time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-11 00:00:00+00:00,14,6,88,11
2022-07-12 00:00:00+00:00,13,7,41,9
2022-07-13 00:00:00+00:00,7,3,85,9
2022-07-14 00:00:00+00:00,19,4,405,11
2022-07-15 00:00:00+00:00,13,5,19,7
2022-07-16 00:00:00+00:00,45,8,126,8
2022-07-17 00:00:00+00:00,2,2,78,10
2022-07-18 00:00:00+00:00,5,3,69,8
2022-07-19 00:00:00+00:00,17,6,61,11
2022-07-20 00:00:00+00:00,4,3,13,5
2022-07-21 00:00:00+00:00,11,5,38,6
2022-07-22 00:00:00+00:00,20,6,74,4
2022-07-23 00:00:00+00:00,1,1,4,4
2022-07-24 00:00:00+00:00,3,2,12,7
