time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-04 00:00:00+00:00,84,11,45,17
2022-07-05 00:00:00+00:00,24,15,64,12
2022-07-06 00:00:00+00:00,23,15,81,20
2022-07-07 00:00:00+00:00,28,17,96,20
2022-07-08 00:00:00+00:00,11,10,74,12
2022-07-09 00:00:00+00:00,35,9,58,5
2022-07-10 00:00:00+00:00,10,6,59,11
2022-07-11 00:00:00+00:00,14,6,88,11
2022-07-12 00:00:00+00:00,13,7,41,9
2022-07-13 00:00:00+00:00,7,3,85,9
2022-07-14 00:00:00+00:00,19,4,405,11
2022-07-15 00:00:00+00:00,13,5,19,7
2022-07-16 00:00:00+00:00,45,8,126,8
2022-07-17 00:00:00+00:00,2,2,78,10
