time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-10 00:00:00+00:00,10.0,6.0,59,11
2022-07-11 00:00:00+00:00,14.0,6.0,88,11
2022-07-12 00:00:00+00:00,13.0,7.0,41,9
2022-07-13 00:00:00+00:00,7.0,3.0,85,9
2022-07-14 00:00:00+00:00,19.0,4.0,405,11
2022-07-15 00:00:00+00:00,13.0,5.0,19,7
2022-07-16 00:00:00+00:00,45.0,8.0,126,8
2022-07-17 00:00:00+00:00,2.0,2.0,78,10
2022-07-18 00:00:00+00:00,5.0,3.0,69,8
2022-07-19 00:00:00+00:00,17.0,6.0,61,11
2022-07-20 00:00:00+00:00,4.0,3.0,13,5
2022-07-21 00:00:00+00:00,11.0,5.0,38,6
2022-07-22 00:00:00+00:00,20.0,6.0,74,4
2022-07-23 00:00:00+00:00,,,4,4
