time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-08 00:00:00+00:00,11,10,74,12
2022-07-09 00:00:00+00:00,35,9,58,5
2022-07-10 00:00:00+00:00,10,6,59,11
2022-07-11 00:00:00+00:00,14,6,88,11
2022-07-12 00:00:00+00:00,13,7,41,9
2022-07-13 00:00:00+00:00,7,3,85,9
2022-07-14 00:00:00+00:00,19,4,405,11
2022-07-15 00:00:00+00:00,13,5,19,7
2022-07-16 00:00:00+00:00,45,8,126,8
2022-07-17 00:00:00+00:00,2,2,78,10
2022-07-18 00:00:00+00:00,5,3,69,8
2022-07-19 00:00:00+00:00,17,6,61,11
2022-07-20 00:00:00+00:00,4,3,13,5
2022-07-21 00:00:00+00:00,11,5,34,4
